,Accounts,Money
0,資產,
1,流動資產,
2,現金及約當現金,"645,670,527 "
3,透過損益按公允價值衡量之金融資產－流動,"3,084,399 "
4,透過其他綜合損益按公允價值衡量之金融資產－流動,"107,313,205 "
5,按攤銷後成本衡量之金融資產－流動,"4,179,386 "
6,避險之金融資產－流動,969 
7,應收帳款淨額,"106,431,149 "
8,應收帳款－關係人淨額,"309,821 "
9,其他應收款－關係人,"48,674 "
10,存貨,"108,682,382 "
11,其他流動資產,"15,604,303 "
12,其他金融資產－流動,"10,521,565 "
13,其他流動資產－其他,"5,082,738 "
14,流動資產合計,"991,324,815 "
15,非流動資產,
16,透過其他綜合損益按公允價值衡量之金融資產－非流動,"3,837,734 "
17,按攤銷後成本衡量之金融資產－非流動,"7,864,421 "
18,採用權益法之投資,"18,336,458 "
19,不動產、廠房及設備,"1,107,651,816 "
20,使用權資產,"19,043,554 "
21,無形資產,"17,974,017 "
22,遞延所得稅資產,"16,959,414 "
23,其他非流動資產,"4,444,556 "
24,存出保證金,"2,839,161 "
25,其他非流動資產－其他,"1,605,395 "
26,非流動資產合計,"1,196,111,970 "
27,資產總計,"2,187,436,785 "
28,負債及權益,
29,負債,
30,流動負債,
31,短期借款,"76,592,550 "
32,透過損益按公允價值衡量之金融負債－流動,"151,079 "
33,避險之金融負債－流動,"111,374 "
34,應付帳款,"27,100,909 "
35,應付帳款－關係人,"560,941 "
36,其他應付款,"113,956,127 "
37,應付薪資,"8,896,829 "
38,應付員工紅利,"27,672,044 "
39,應付董監事酬勞,"416,288 "
40,應付設備款,"76,970,966 "
41,本期所得稅負債,"45,719,763 "
42,其他流動負債,"114,074,891 "
43,一年或一營業週期內到期長期負債,"48,100,000 "
44,其他流動負債－其他,"65,974,891 "
45,流動負債合計,"378,267,634 "
46,非流動負債,
47,應付公司債,"35,300,000 "
48,遞延所得稅負債,"204,933 "
49,租賃負債－非流動,"16,907,533 "
50,其他非流動負債,"13,239,083 "
51,淨確定福利負債-非流動,"9,389,230 "
52,存入保證金,"1,820,748 "
53,其他非流動負債－其他,"2,029,105 "
54,非流動負債合計,"65,651,549 "
55,負債總計,"443,919,183 "
56,權益,
57,歸屬於母公司業主之權益,
58,股本,
59,普通股股本,"259,303,805 "
60,股本合計,"259,303,805 "
61,資本公積,
62,資本公積－發行溢價,"33,077,786 "
63,資本公積－普通股股票溢價,"24,184,939 "
64,資本公積－轉換公司債轉換溢價,"8,892,847 "
65,資本公積－認列對子公司所有權權益變動數,"121,843 "
66,資本公積－受贈資產,"29,343 "
67,資本公積－其他受贈資產,"29,343 "
68,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,"287,206 "
69,資本公積－合併溢額,"22,804,510 "
70,資本公積合計,"56,320,688 "
71,保留盈餘,
72,法定盈餘公積,"276,033,811 "
73,特別盈餘公積,"26,907,527 "
74,未分配盈餘（或待彌補虧損）,"1,135,004,816 "
75,保留盈餘合計,"1,437,946,154 "
76,其他權益,
77,其他權益合計,"(10,725,023)"
78,歸屬於母公司業主之權益合計,"1,742,845,624 "
79,非控制權益,"671,978 "
80,權益總計,"1,743,517,602 "
81,負債及權益總計,"2,187,436,785 "
82,預收股款（權益項下）之約當發行股數,0 
83,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0 
